Item,amount,Price (£),Link
Nylon Monofilament Fishing Line 0.20mm,1,0.75,https://www.aliexpress.com/item/1005003972138352.html?spm=a2g0o.productlist.main.7.5f2c75b3WTHMWp&algo_pvid=334d2d92-0cf0-43da-9755-0bcb2091e4f3&algo_exp_id=334d2d92-0cf0-43da-9755-0bcb2091e4f3-6&pdp_ext_f=%7B%22order%22%3A%229105%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%213.24%210.75%21%21%214.25%210.98%21%402103891017768925435253315efd7e%2112000027605826581%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000203582506&curPageLogUid=2XcZ4Ww9MPOc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003972138352%7C_p_origin_prod%3A
planetry gear motor 12v 222rpm shaft diameter8mm,1,10.8, https://www.aliexpress.com/item/1005008531655044.html?spm=a2g0o.productlist.main.4.4545SiKRSiKR8g&algo_pvid=9d886e09-35ff-45c4-a0f1-5cdd190b6b15&algo_exp_id=9d886e09-35ff-45c4-a0f1-5cdd190b6b15-3&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2110.48%218.59%21%21%2193.74%2176.84%21%40211b807017769680362464989e8d78%2112000045585570991%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=7DNxVExLPLAy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008531655044%7C_p_origin_prod%3A
esp32 wroom,2,8,https://www.aliexpress.com/item/1005008981904299.html?spm=a2g0o.productlist.main.8.62bc51b1bpFCyr&aem_p4p_detail=20260424134515158164843320540002079238&algo_pvid=e2d77212-a16c-4666-9f8f-54137adc204f&algo_exp_id=e2d77212-a16c-4666-9f8f-54137adc204f-7&pdp_ext_f=%7B%22order%22%3A%22947%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.59%211.59%21%21%2114.22%2114.22%21%40211b430817770635152812510ec4d1%2112000056457056505%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=QJ0YR3t2WHge&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008981904299%7C_p_origin_prod%3A&search_p4p_id=20260424134515158164843320540002079238_2
L298N,1,1.93,https://shorturl.at/OVwJe
12V '1200mh lion battery,1,6.19,https://shorturl.at/cLtL4
LM2596S step down,1,0.61,https://shorturl.at/UgoCk
LION CHARGER,1,2.12,https://shorturl.at/HSujt
M2.5 * 8 screws,11,2.88,https://shorturl.at/doNNf
metal button 16mm,1,1.52,https://shorturl.at/yQebq
M2.5 * 20 screws,8,1.90,https://shorturl.at/OGTsu
